# Calibration data for test jig_1
# Format: desired_angle, actual_angle, error
[SHOULDER]
0,0.27,0.27
10,9.41,-0.59
20,19.70,-0.30
30,29.44,-0.56
40,39.30,-0.70
50,49.61,-0.39
60,59.62,-0.38
70,69.50,-0.50
80,79.36,-0.64
90,89.38,-0.62
100,99.23,-0.77
110,109.58,-0.42
120,119.73,-0.27
130,129.64,-0.36
140,139.65,-0.35
150,149.98,-0.02
160,159.75,-0.25
170,169.61,-0.39
180,179.69,-0.31
[ELBOW]
0,0.00,0.00
10,9.27,-0.73
20,19.71,-0.29
30,29.76,-0.24
40,39.62,-0.38
50,50.07,0.07
60,59.84,-0.16
70,69.76,-0.24
80,80.16,0.16
90,90.22,0.22
100,100.07,0.07
110,110.38,0.38
120,120.20,0.20
130,130.40,0.40
140,140.64,0.64
150,151.04,1.04
160,160.80,0.80
170,170.93,0.93
180,180.00,0.00
